id,genre,title,subtitle,publisher,date
th1,game/shmup,東方靈異伝,Highly Responsive to Prayers,上海アリス幻樂団,1996/11/3
th2,game/shmup,東方封魔録,the Story of Eastern Wonderland,上海アリス幻樂団,1997/08/15
th3,game/shmup,東方夢時空,Phantasmagoria of Dim.Dream,上海アリス幻樂団,1997/12/29
th4,game/shmup,東方幻想郷,Lotus Land Story,上海アリス幻樂団,1998/08/14
th5,game/shmup,東方怪綺談,Mystic Square,上海アリス幻樂団,1998/12/30
th6,game/shmup,東方紅魔郷,the Embodiment of Scerlet Devil.,上海アリス幻樂団,2002/08/11
th7,game/shmup,東方妖々夢,Perfect Cherry Blossom.,上海アリス幻樂団,2003/08/17
th7.5,game/fighting,東方萃夢想,Immaterial and Missing Power.,黄昏フロンティア,2004/12/30
th8,game/shmup,東方永夜抄,Imperishable Night.,上海アリス幻樂団,2004/08/15
th9,game/shmup,東方花映塚,Phantasmagoria of Flower View.,上海アリス幻樂団,2005/08/14
th9.5,game/shmup,東方文花帖,Shoot the Bullet.,上海アリス幻樂団,2005/12/30
th10,game/shmup,東方風神録,Mountain of Faith.,上海アリス幻樂団,2007/08/17
th10.5,game/fighting,東方緋想天,Scarlet Weather Rhapsody.,黄昏フロンティア,2008/05/25
th11,game/shmup,東方地霊殿,Subterranean Animism.,上海アリス幻樂団,2008/08/16
th12,game/shmup,東方星蓮船,Undefined Fantastic Object.,上海アリス幻樂団,2009/08/15
th12.3,game/fighting,東方非想天則,超弩級ギニョルの謎を追え,黄昏フロンティア,2009/08/15
th12.5,game/shmup,ダブルスポイラー,東方文花帖,上海アリス幻樂団,2010/03/14
th12.8,game/shmup,妖精大戦争,東方三月精,上海アリス幻樂団,2010/08/14
th13,game/shmup,東方神霊廟,Ten Desires.,上海アリス幻樂団,2011/08/13
th13.5,game/fighting,東方心綺楼,Hopeless Masquerade.,黄昏フロンティア,2013/05/26
th14,game/shmup,東方輝針城,Double Dealing Character.,上海アリス幻樂団,2013/08/12
th14.3,game/shmup,弾幕アマノジャク,Impossible Spell Card.,上海アリス幻樂団,2014/05/11
th14.5,game/fighting,東方深秘録,Urban Legend in Limbo.,黄昏フロンティア,2015/05/10
th15,game/shmup,東方紺珠伝,Legacy of Lunatic Kingdom.,上海アリス幻樂団,2015/08/14
th15.5,game/fighting,東方憑依華,Antinomy of Common Flowers.,黄昏フロンティア,2017/12/29
th16,game/shmup,東方天空璋,Hidden Star in Four Seasons.,上海アリス幻樂団,2017/08/11
th16.5,game/shmup,秘封ナイトメアダイアリー,Violet Detector.,上海アリス幻樂団,2018/08/10
th17,game/shmup,東方鬼形獣,Wily Beast and Weakest Creature.,上海アリス幻樂団,2019/08/12
